"","Date","Age","pCO2","Replicate","N","O_N","sd","se","ci"
"1",20211026,92,"500 μatm","A",2,12.66,4.44063058585152,3.14,39.8974828715885
"2",20211026,92,"500 μatm","B",2,7.805,0.106066017177982,0.0749999999999997,0.952965355213099
"3",20211026,92,"500 μatm","C",2,9.12,0.0707106781186545,0.0499999999999998,0.635310236808732
"4",20211026,92,"500 μatm","D",1,5.4,NA,NA,NA
"5",20211026,92,"800 μatm","A",2,15.05,1.90918830920368,1.35,17.1533763938358
"6",20211026,92,"800 μatm","B",1,56.6,NA,NA,NA
"7",20211026,92,"800 μatm","C",1,4,NA,NA,NA
"8",20220202,191,"500 μatm","A",1,21.4,NA,NA,NA
"9",20220202,191,"500 μatm","B",1,30.9,NA,NA,NA
"10",20220202,191,"500 μatm","C",1,42.8,NA,NA,NA
"11",20220202,191,"500 μatm","D",1,4.34,NA,NA,NA
"12",20220202,191,"500 μatm","E",1,27,NA,NA,NA
"13",20220202,191,"500 μatm","F",1,24.7,NA,NA,NA
"14",20220202,191,"500 μatm","G",1,36.8,NA,NA,NA
"15",20220202,191,"500 μatm","H",1,14.8,NA,NA,NA
"16",20220202,191,"800 μatm","A",1,32.1,NA,NA,NA
"17",20220202,191,"800 μatm","B",1,19.7,NA,NA,NA
"18",20220202,191,"800 μatm","C",1,17.5,NA,NA,NA
"19",20220202,191,"800 μatm","D",1,11.5,NA,NA,NA
"20",20220202,191,"800 μatm","E",1,33.8,NA,NA,NA
"21",20220202,191,"800 μatm","F",1,23.5,NA,NA,NA
"22",20220202,191,"800 μatm","G",1,11,NA,NA,NA
"23",20220202,191,"800 μatm","H",1,9.33,NA,NA,NA
"24",20220301,218,"500 μatm","A",1,8.36,NA,NA,NA
"25",20220301,218,"500 μatm","B",1,7.69,NA,NA,NA
"26",20220301,218,"500 μatm","C",1,11.6,NA,NA,NA
"27",20220301,218,"500 μatm","D",1,5.13,NA,NA,NA
"28",20220301,218,"500 μatm","E",2,17.405,15.5492781182922,10.995,139.704721074241
"29",20220301,218,"500 μatm","F",1,16.4,NA,NA,NA
"30",20220301,218,"500 μatm","G",1,3.43,NA,NA,NA
"31",20220301,218,"500 μatm","H",1,8.31,NA,NA,NA
"32",20220301,218,"800 μatm","A",1,9.69,NA,NA,NA
"33",20220301,218,"800 μatm","B",2,7.915,2.7647875144394,1.955,24.8406302592215
"34",20220301,218,"800 μatm","C",1,12.8,NA,NA,NA
"35",20220301,218,"800 μatm","D",1,17.8,NA,NA,NA
"36",20220301,218,"800 μatm","E",1,16.5,NA,NA,NA
"37",20220301,218,"800 μatm","F",1,16.2,NA,NA,NA
"38",20220301,218,"800 μatm","G",1,9.79,NA,NA,NA
"39",20220301,218,"800 μatm","H",1,32.7,NA,NA,NA
"40",20220922,423,"500 μatm","A",3,14.7333333333333,2.19393102292058,1.26666666666667,5.45002679101598
"41",20220922,423,"500 μatm","B",2,12.25,1.06066017177982,0.75,9.52965355213102
"42",20220922,423,"500 μatm","C",1,11.5,NA,NA,NA
"43",20220922,423,"500 μatm","D",1,10.5,NA,NA,NA
"44",20220922,423,"800 μatm","A",2,13.8,0.424264068711928,0.3,3.81186142085241
"45",20220922,423,"800 μatm","B",2,11.25,1.34350288425444,0.949999999999999,12.0708944993659
"46",20220922,423,"800 μatm","C",2,22.35,2.47487373415292,1.75,22.2358582883057
"47",20220922,423,"800 μatm","D",1,14.5,NA,NA,NA
"48",20221026,457,"500 μatm","A",1,11.2,NA,NA,NA
"49",20221026,457,"500 μatm","C",1,10.6,NA,NA,NA
"50",20221026,457,"500 μatm","D",1,1.16,NA,NA,NA
"51",20221026,457,"500 μatm","E",1,8.45,NA,NA,NA
"52",20221026,457,"500 μatm","F",1,17.9,NA,NA,NA
"53",20221026,457,"500 μatm","G",1,10.4,NA,NA,NA
"54",20221026,457,"800 μatm","A",1,4.14,NA,NA,NA
"55",20221026,457,"800 μatm","B",1,11.3,NA,NA,NA
"56",20221026,457,"800 μatm","C",1,13.8,NA,NA,NA
"57",20221026,457,"800 μatm","D",1,9.03,NA,NA,NA
"58",20221026,457,"800 μatm","E",1,7.71,NA,NA,NA
"59",20221026,457,"800 μatm","F",1,3.44,NA,NA,NA
"60",20221026,457,"800 μatm","G",1,8.52,NA,NA,NA
