"","Generation","Date","pH","pCO2","Replicate","Number","Run","Length_um","Length_mm","Dry_Tissue_weight","ExcretionRate_umol_hr","ExcretionRate_umol_hr_bFactorNormLength.MEAN","ExcretionRate_umol_hr_bFactorNormTDW.MEAN"
"1","F1",20211026,7.5,"800 μatm","A",1,1,8900,8.9,0.0043,0.03,0.879820513056613,1.96917431385708
"2","F1",20211026,7.5,"800 μatm","A",2,2,13490,13.49,0.0143,0.03,0.241356967488725,0.674183747969499
"3","F1",20211026,7.5,"800 μatm","B",1,1,7030,7.03,0.003,0,0,0
"4","F1",20211026,7.5,"800 μatm","B",2,2,10100,10.1,0.0074,0.01,0.197895663157566,0.404447425999079
"5","F1",20211026,7.5,"800 μatm","B",3,3,9510,9.51,0.0065,0.04,0.954540441190657,1.8161764794515
"6","F1",20211026,7.5,"800 μatm","C",2,3,9550,9.55,0.0075,0.05,1.17770160795645,1.99816858702838
"7","F1",20211026,7.5,"800 μatm","C",3,3,9710,9.71,0.0067,0.05,1.11839173417356,2.20967320893662
"8","F1",20211026,7.5,"800 μatm","D",1,2,7420,7.42,0.0024,0,0,0
"9","F1",20211026,7.5,"800 μatm","D",2,3,8890,8.89,0.0053,0.03,0.88290205447191,1.63412001311379
"10","F1",20211026,8,"500 μatm","A",1,1,12610,12.61,0.0131,0.05,0.686478971043582,1.75621804453252
"11","F1",20211026,8,"500 μatm","A",2,2,14310,14.31,0.016,0.04,0.350537982262822,1.15147358199712
"12","F1",20211026,8,"500 μatm","B",1,1,8940,8.94,0.0069,0.02,0.931059841266916,1.32943932245452
"13","F1",20211026,8,"500 μatm","B",2,2,11610,11.61,0.0132,0.06,1.10456851889007,2.09157556131158
"14","F1",20211026,8,"500 μatm","C",1,1,14070,14.07,0.0194,0.06,0.558345468132422,1.42587645923491
"15","F1",20211026,8,"500 μatm","C",2,3,12530,12.53,0.0143,0.03,0.421299305973499,0.965728987243767
"16","F1",20211026,8,"500 μatm","D",1,2,8650,8.65,0.0038,0,0,0
