Date,pH,Replicate,ExcretionRate_ug_hr,ExcretionRate_umol_hr,Number,Run
20220202,7.5,A,2.51,0.18,1,1
20220202,7.5,B,3.21,0.23,1,1
20220202,7.5,C,-1.46,-0.1,1,1
20220202,7.5,C,2.98,0.21,2,3
20220202,7.5,D,1.42,0.1,1,2
20220202,7.5,E,1.46,0.1,1,2
20220202,7.5,F,1.47,0.11,1,2
20220202,7.5,G,4.96,0.35,1,3
20220202,7.5,H,4.22,0.3,1,3
20220202,8,A,3.5,0.25,1,1
20220202,8,B,0.99,0.07,1,1
20220202,8,C,-0.34,-0.02,1,1
20220202,8,C,1.37,0.1,2,3
20220202,8,D,4.24,0.3,1,2
20220202,8,E,2.91,0.21,1,2
20220202,8,F,2.37,0.17,1,2
20220202,8,G,1.19,0.08,1,3
20220202,8,H,2.62,0.19,1,3
20220301,8,A,2.2,0.16,1,1
20220301,8,B,8.15,0.58,1,1
20220301,8,C,16.76,1.2,1,1
20220301,8,D,31.29,2.24,1,2
20220301,8,E,0.43,0.03,1,2
20220301,8,F,13.13,0.94,1,2
20220301,8,G,15.79,1.13,1,3
20220301,8,H,18.36,1.31,1,3
20220301,8,E,31.16,2.23,2,3
20220301,7.5,A,20.15,1.44,1,1
20220301,7.5,B,6.57,0.47,1,1
20220301,7.5,C,15.95,1.14,1,1
20220301,7.5,D,12.97,0.93,1,2
20220301,7.5,E,14.7,1.05,1,2
20220301,7.5,F,18.54,1.32,1,2
20220301,7.5,G,17.16,1.23,1,3
20220301,7.5,H,11.12,0.79,1,3
20220301,7.5,B,20.45,1.46,2,3
20211026,8,A,0.67,0.05,1,1
20211026,8,B,0.25,0.02,1,1
20211026,8,C,0.79,0.06,1,1
20211026,7.5,A,0.46,0.03,1,1
20211026,7.5,B,0.02,0.00,1,1
20211026,7.5,C,-0.14,-0.01,1,1
20211026,8,D,0.05,0.00,1,2
20211026,8,A,0.51,0.04,2,2
20211026,8,B,0.77,0.06,2,2
20211026,7.5,D,0.03,0.00,1,2
20211026,7.5,A,0.40,0.03,2,2
20211026,7.5,B,0.16,0.01,2,2
20211026,8,C,0.38,0.03,2,3
20211026,8,D,0.77,0.05,2,3
20211026,7.5,C,0.77,0.05,2,3
20211026,7.5,B,0.63,0.04,3,3
20211026,7.5,D,0.40,0.03,2,3
20211026,7.5,C,0.64,0.05,3,3
20220922,7.5,A,48,3.43,1,1
20220922,7.5,A,23.2,1.66,2,1
20220922,7.5,B,56.1,4,1,1
20220922,7.5,B,28.4,2.03,2,1
20220922,7.5,C,28.1,2.01,1,1
20220922,7.5,C,14.2,1.02,2,1
20220922,7.5,D,36.4,2.6,1,1
20220922,8,A,62.2,4.44,1,2
20220922,8,A,34.2,2.44,2,2
20220922,8,A,33.9,2.3,3,2
20220922,8,B,34.3,2.45,1,2
20220922,8,B,35.1,2.16,2,2
20220922,8,C,9.4,2.81,1,2
20220922,8,D,17.6,2.39,1,2
20221026,8,A,18.55,1.33,1,1
20221026,8,B,NA,NA,1,1
20221026,8,C,37.98,2.71,1,1
20221026,8,D,132.34,9.45,1,1
20221026,8,E,32.33,2.31,1,1
20221026,8,F,14.33,1.02,1,1
20221026,8,G,58.29,4.16,1,1
20221026,7.5,A,32.96,2.35,1,2
20221026,7.5,B,18.72,1.34,1,2
20221026,7.5,C,84.14,6.01,1,2
20221026,7.5,D,111.56,7.97,1,2
20221026,7.5,E,40.33,2.88,1,2
20221026,7.5,F,22.13,1.58,1,2
20221026,7.5,G,119.61,8.54,1,2
